X,Y,Store Name,ADDRESS,ZIPCODE,New Store,PHONE
-8579247.13429013,4709834.27742406,Trader Joe's,2101 WISCONSIN AVENUE NW #A,20007,,2029448403
-8569598.46669922,4709684.76742479,Target ,1515 NEW YORK AVENUE NE,20002,,2029142396
-8579121.63747438,4709664.43644511,Safeway,1855 WISCONSIN AVENUE NW,20007,,2023333223
-8575190.35628744,4709660.85901655,Trader Joe's,1914 14TH STREET NW,20009,,2029861591
-8569774.39294194,4709639.51086546,Mom's Organic Market,1501 NEW YORK AVENUE NE,20002,checked,2027913826
-8575937.33401784,4709082.38347321,Safeway,1701 CORCORAN STREET NW,20009,,2026676825
-8575337.53481378,4708716.37445412,Whole Foods Market,1440 P STREET NW ,20005,,2023324300
-8576984.80994366,4708715.09090635,Metro Supermarket,2130 P STREET NW #5,20037,checked,2028333720
-8574063.76879559,4708612.17251820,Giant,1400 7TH STREET NW,20001,,2022380180
-8571663.97275011,4708425.79147329,Trader Joe's,350 FLORIDA AVENUE NE,20002,checked,2026081023
-8576984.57293677,4708314.57712104,Streets Market,1255 22ND STREET NW,20037,,2026520843
-8572212.44150747,4708219.10884957,Harris Teeter,1201 1ST STREET NE,20002,,2029861415
-8572410.21034953,4708138.92779420,Streets Market,51 M STREET NE ,20002,,2028981314
-8574834.00148707,4708073.89544039,Streets Market,1221 MASSACHUSSETTS AVENUE NW,20005,,2024147891
-8578853.30035346,4708039.50707895,Dean & DeLuca,3276 M STREET NW,20007,checked,2023422500
-8577502.33355105,4707958.17032779,Trader Joe's,1101 25TH STREET NW,20037,checked,2022961921
-8569155.30523522,4707582.00925232,Aldi,901 17TH STREET NE,20002,,8559552534
-8577063.22889606,4707488.92936514,Whole Foods Market,2201 I STREET NW,20037,,2022961660
-8569349.05566877,4707439.79604065,Safeway,1601 MARYLAND AVENUE NE,20002,,2023986903
-8571784.13665045,4707420.16232822,Giant,300 H STREET NE,20002,,2025485100
-8572935.18485654,4707415.37275659,Walmart Supercenter,99 H STREET NW,20001,checked,2027192110
-8571394.55908407,4707415.39422955,Whole Foods Market,600 H STREET NE,20002,,2024697410
-8577294.08361337,4706861.81704834,Market at Columbia Plaza,516 23RD STREET NW,20037,,2022233517
-8571102.73873628,4705175.21156883,Trader Joe's,750 PENNSYLVANIA AVENUE SE,20003,,2026980190
-8570103.71180406,4705004.67537954,Safeway,415 14TH STREET SE,20003,,2025474333
-8571006.74022084,4704981.96653478,Yes! Organic,410 8TH STREET SE,20003,,2025469850
-8572125.44150488,4704537.95755389,Whole Foods Market,101 H STREET SE,20003,,2024697280
-8570111.89014427,4704527.13099665,Harris Teeter,1350 POTOMAC AVENUE SE,20003,checked,2025431040
-8573511.23451401,4704157.03228759,Safeway,1100 4TH STREET SW,20024,,2025549155
-8571611.53912410,4703957.24212076,Harris Teeter,401 M St SE,20003,,2025540164
-8567890.87125206,4701499.21573723,Safeway,2845 ALABAMA AVENUE SE,20020,,2025757525
-8569485.64628398,4699486.18849327,Giant,1535 ALABAMA AVENUE SE,20032,,2026106464
-8574556.39151165,4717307.71713324,Safeway,6500 PINEY BRANCH ROAD NW,20012,,2027235644
-8580780.69695670,4714847.00711483,Safeway,4203 DAVENPORT STREET NW,20016,checked,2023640290
-8574368.06356447,4712859.80583883,Safeway,3830 GEORGIA AVENUE NW,20011,,2028821140
-8575891.53284872,4711784.63271694,BestWorld Supermarket,3178 MOUNT PLEASANT STREET NW,20010,checked,2022653768
-8575880.11962759,4710503.02388512,Harris Teeter,1631 KALORAMA ROAD NW,20009,,2029861415
-8570758.20656291,4710108.53014748,Giant,1050 BRENTWOOD ROAD NE,20018,,2022813900
-8576632.43403710,4709401.03660586,Dawson's Market,2001 S STREET NW,20009,checked,2025885698
-8574572.17074083,4708329.99317963,Capitol Super Market,1231 11TH STREET NW,20001,,2022891336
-8573644.04985771,4707857.72914553,Safeway,490 L STREET NW,20001,,2027192435
-8565751.75301388,4706376.30163475,Safeway,322 40TH STREET NE,20019,,2023972802
-8568567.09755793,4703658.25593765,Yes! Organic,2323 PENNSYLVANIA AVENUE SE,20020,checked,2025821480
-8580202.04850252,4713145.29599159,Wegmans,41 RIDGE SQUARE NW,20016,,2024491600
-8567971.89628551,4701889.97769560,Lidl,2224 TOWN CENTER DRIVE SE,20020,,8447475435
-8572500.49063375,4697521.82845663,Good Food Markets,4001 SOUTH CAPITOL STREET SW,20032,,2022488496
-8577761.23165516,4708721.50407324,Streets Market,2617 P STREET NW,20007,checked,2027350996
-8574736.23848708,4718248.84591182,Whole Foods Market,7130 12TH STREET NW,20012,,2028466680
-8575272.77743953,4711550.63537857,Lidl,"3100 14TH STREET NW, #116",20010,,8447475435
-8575134.27491566,4709247.22107019,AmazonFresh,1733 14TH STREET NW,20009,checked,
-8574241.51844572,4708371.18072523,Union Kitchen Grocery,1251 9TH STREET NW,20001,,2027927850
-8574185.13320551,4709724.70563522,Union Kitchen Grocery,1924 8TH STREET NW,20005,,2027927850
-8572046.27584427,4709074.87427158,Union Kitchen Grocery,1625 ECKINGTON PLACE NE,20002,,2027927850
-8571847.00818834,4706957.44987435,Union Kitchen Grocery,1625 ECKINGTON PLACE NE,20002,,2027927850
-8571570.26111205,4715161.29749667,Aldi,5300 SOUTH DAKOTA AVENUE NE,20011,checked,8003257894
